"","numberOfEpisodes","Finalization","originalTitle","startYear","endYear","runtimeMinutes","averageRating","numVotes","genre","GenderMale","GenderFeMale"
"328",11,1,"Joe's Life",1993,1993,30,5.9,13,"comedy",2,2
"329",84,1,"The John Larroquette Show",1993,1996,30,7.3,745,"comedy",3,1
"330",8,0,"Johnny Bago",1993,0,60,7.8,87,"comedy",2,2
"331",13,1,"Joking Apart",1991,1995,30,8.2,136,"comedy",3,2
"332",7,0,"Just a Gigolo",1993,0,30,8,26,"comedy",2,3
"333",13,0,"Key West",1993,0,60,8.1,261,"comedy",2,2
"334",13,1,"Der kleine Vampir - Neue Abenteuer",1993,1994,28,7.2,79,"adventure",3,2
"335",37,1,"Law of the Land",1993,1994,50,7.1,27,"crime",2,2
"336",87,1,"Lois & Clark: The New Adventures of Superman",1993,1997,46,6.8,17843,"adventure",2,2
"337",18,1,"Luv",1993,1994,30,7.9,9,"comedy",2,3
"338",13,0,"Matrix",1993,0,60,8.3,109,"action",3,1
"339",40,1,"Metsolat",1993,1995,50,7.9,217,"drama",3,2
"340",16,0,"Mirakuru gâruzu",1993,0,24,7.6,36,"animation",3,2
"341",37,1,"The Mommies",1993,1995,30,6.2,87,"comedy",2,2
"342",13,1,"Moon Over Miami",1993,1993,60,7.6,157,"crime",3,2
"343",52,1,"Newlyweds",1993,1994,25,6.1,29,"comedy",2,2
"344",7,0,"Newman and Baddiel in Pieces",1993,0,30,8.1,60,"comedy",1,2
"345",39,1,"Nicht von schlechten Eltern",1993,1998,45,8,82,"comedy",3,2
"346",90,1,"North of 60",1992,1998,60,8.4,382,"crime",2,2
"347",59,1,"La petite vie",1993,1999,23,8.5,869,"comedy",4,1
"348",22,1,"Phenom",1993,1994,30,6.7,124,"comedy",1,3
"349",40,1,"Pie in the Sky",1994,1997,50,7.6,798,"comedy",3,1
"350",26,1,"Problem Child",1993,1994,30,4.4,137,"animation",2,2
"351",65,1,"Ready or Not",1993,1997,23,7,2180,"drama",1,3
